-70,-180,1.903
-70,-179,1.834
-70,-178,1.783
-70,-177,1.752
-70,-176,1.767
-70,-175,1.761
-70,-174,1.734
-70,-173,1.857
-70,-172,1.902
-70,-171,1.868
-70,-170,1.846
-70,-169,1.882
-70,-168,1.976
-70,-167,1.778
-70,-166,1.719
-70,-165,1.798
-70,-164,1.694
-70,-163,1.596
-70,-162,1.504
-70,-161,1.644
-70,-160,1.729
-70,-159,1.76
-70,-158,2.55
-70,-157,2.776
-70,-156,2.438
-70,-155,2.469
-70,-154,2.509
-70,-153,2.556
-70,-152,2.538
-70,-151,2.274
-70,-150,1.764
-70,-149,1.785
-70,-148,1.843
-70,-147,1.936
-70,-146,1.895
-70,-145,1.896
-70,-144,1.938
-70,-143,1.927
-70,-142,2.001
-70,-141,2.161
-70,-140,2.166
-70,-139,2.244
-70,-138,2.392
-70,-137,2.326
-70,-136,2.299
-70,-135,2.311
-70,-134,2.166
-70,-133,2.027
-70,-132,1.895
-70,-131,1.824
-70,-130,1.785
-70,-129,1.779
-70,-128,1.694
-70,-127,1.547
-70,-126,1.337
-70,-125,1.29
-70,-124,1.277
-70,-123,1.299
-70,-122,0.989
-70,-121,0.849
-70,-120,0.88
-70,-119,0.922
-70,-118,0.959
-70,-117,0.991
-70,-116,0.802
-70,-115,0.735
-70,-114,0.79
-70,-113,0.842
-70,-112,0.909
-70,-111,0.99
-70,-110,1.068
-70,-109,1.086
-70,-108,1.045
-70,-107,1.01
-70,-106,1.034
-70,-105,1.117
-70,-104,1.15
-70,-103,1.132
-70,-102,1.061
-70,-101,0.975
-70,-100,0.97
-70,-99,1.045
-70,-98,1.061
-70,-97,1.108
-70,-96,1.186
-70,-95,1.068
-70,-94,0.974
-70,-93,0.903
-70,-92,0.94
-70,-91,0.91
-70,-90,0.813
-70,-89,0.835
-70,-88,0.841
-70,-87,0.832
-70,-86,0.806
-70,-85,0.794
-70,-84,0.795
-70,-83,0.84
-70,-82,0.842
-70,-81,0.801
-70,-80,0.828
-70,-79,0.851
-70,-78,0.873
-70,-77,0.863
-70,-76,0.847
-70,-75,0.824
-70,-74,0.771
-70,-73,0.826
-70,-72,0.991
-70,-71,0.928
-70,-70,0.973
-70,-69,1.125
-70,-68,1.384
-70,-67,1.696
-70,-66,2.061
-70,-65,2.143
-70,-64,1.947
-70,-63,1.474
-70,-62,1.102
-70,-61,0.805
-70,-60,0.583
-70,-59,0.788
-70,-58,0.899
-70,-57,0.918
-70,-56,0.896
-70,-55,0.914
-70,-54,0.972
-70,-53,0.945
-70,-52,0.923
-70,-51,0.904
-70,-50,0.9
-70,-49,0.904
-70,-48,0.917
-70,-47,0.876
-70,-46,0.87
-70,-45,0.9
-70,-44,1.163
-70,-43,1.235
-70,-42,1.118
-70,-41,1.221
-70,-40,1.218
-70,-39,1.107
-70,-38,1.131
-70,-37,1.221
-70,-36,1.376
-70,-35,1.217
-70,-34,1.117
-70,-33,1.076
-70,-32,1.006
-70,-31,0.988
-70,-30,1.021
-70,-29,1.061
-70,-28,1.051
-70,-27,0.99
-70,-26,1.064
-70,-25,1.132
-70,-24,1.193
-70,-23,1.166
-70,-22,1.144
-70,-21,1.125
-70,-20,1.244
-70,-19,1.156
-70,-18,0.861
-70,-17,1.019
-70,-16,1.197
-70,-15,1.394
-70,-14,1.519
-70,-13,1.484
-70,-12,1.29
-70,-11,1.175
-70,-10,1.282
-70,-9,1.609
-70,-8,1.455
-70,-7,1.507
-70,-6,1.765
-70,-5,1.688
-70,-4,1.805
-70,-3,2.117
-70,-2,2.08
-70,-1,1.753
-70,0,1.138
-70,1,0.665
-70,2,0.612
-70,3,0.978
-70,4,0.943
-70,5,0.893
-70,6,0.827
-70,7,0.838
-70,8,0.828
-70,9,0.796
-70,10,0.836
-70,11,0.911
-70,12,1.021
-70,13,0.88
-70,14,0.905
-70,15,1.095
-70,16,1.109
-70,17,1.056
-70,18,0.935
-70,19,0.848
-70,20,0.773
-70,21,0.709
-70,22,0.683
-70,23,0.686
-70,24,0.717
-70,25,0.733
-70,26,0.726
-70,27,0.693
-70,28,0.806
-70,29,0.971
-70,30,1.189
-70,31,1.21
-70,32,1.186
-70,33,1.115
-70,34,1.249
-70,35,1.303
-70,36,1.279
-70,37,1.389
-70,38,1.486
-70,39,1.571
-70,40,1.772
-70,41,1.989
-70,42,2.221
-70,43,2.319
-70,44,2.379
-70,45,2.401
-70,46,2.451
-70,47,2.492
-70,48,2.523
-70,49,2.586
-70,50,2.678
-70,51,2.797
-70,52,2.91
-70,53,2.989
-70,54,3.034
-70,55,3.034
-70,56,3.016
-70,57,2.98
-70,58,2.934
-70,59,2.876
-70,60,2.804
-70,61,2.694
-70,62,2.597
-70,63,2.513
-70,64,2.418
-70,65,2.264
-70,66,2.05
-70,67,1.634
-70,68,1.202
-70,69,0.753
-70,70,0.839
-70,71,0.858
-70,72,0.81
-70,73,1.051
-70,74,1.26
-70,75,1.437
-70,76,1.569
-70,77,1.791
-70,78,2.104
-70,79,2.337
-70,80,2.517
-70,81,2.644
-70,82,2.742
-70,83,2.817
-70,84,2.871
-70,85,2.901
-70,86,2.942
-70,87,2.995
-70,88,3.029
-70,89,3.047
-70,90,3.05
-70,91,3.108
-70,92,3.152
-70,93,3.181
-70,94,3.157
-70,95,3.144
-70,96,3.143
-70,97,3.102
-70,98,3.046
-70,99,2.973
-70,100,2.963
-70,101,2.957
-70,102,2.954
-70,103,2.952
-70,104,2.951
-70,105,2.952
-70,106,2.927
-70,107,2.901
-70,108,2.875
-70,109,2.881
-70,110,2.879
-70,111,2.87
-70,112,2.841
-70,113,2.827
-70,114,2.828
-70,115,2.807
-70,116,2.776
-70,117,2.734
-70,118,2.747
-70,119,2.764
-70,120,2.785
-70,121,2.813
-70,122,2.85
-70,123,2.898
-70,124,2.915
-70,125,2.906
-70,126,2.868
-70,127,2.87
-70,128,2.859
-70,129,2.836
-70,130,2.805
-70,131,2.806
-70,132,2.838
-70,133,2.879
-70,134,2.911
-70,135,2.933
-70,136,2.929
-70,137,2.91
-70,138,2.874
-70,139,2.807
-70,140,2.726
-70,141,2.633
-70,142,2.52
-70,143,2.406
-70,144,2.291
-70,145,2.218
-70,146,2.14
-70,147,2.058
-70,148,1.989
-70,149,1.945
-70,150,1.927
-70,151,1.88
-70,152,1.821
-70,153,1.75
-70,154,1.751
-70,155,1.691
-70,156,1.57
-70,157,1.565
-70,158,1.57
-70,159,1.584
-70,160,1.448
-70,161,1.34
-70,162,1.26
-70,163,1.166
-70,164,1.277
-70,165,1.592
-70,166,1.435
-70,167,1.286
-70,168,1.146
-70,169,1.084
-70,170,1.15
-70,171,1.345
